sample_id,domain,split,family,layout,condition,raw_image,image,ground_truth,legacy_reference,prompt,metadata,width_px,height_px,image_sha256,ground_truth_sha256,annotation_status,notes
sheet_F1_L1_C1,synthetic,train,F1,L1,C1,,datos/sinteticos/imagenes/sheet_F1_L1_C1_rgb.png,datos/sinteticos/mascaras/sheet_F1_L1_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L1_C1_meta.json,2100,2970,7d2d5a351fbc3f51d568a892906586e2777328aef31c851d7bb736d549881b42,786cb52fc66f6b88aad5190cee8641e8154e81b6acc9c0a19bcd23d4468610e2,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L1_C2,synthetic,test,F1,L1,C2,,datos/sinteticos/imagenes/sheet_F1_L1_C2_rgb.png,datos/sinteticos/mascaras/sheet_F1_L1_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L1_C2_meta.json,2100,2970,0acba5ba8f53cd6455dbe31c5ca43ae0b534727b891cf24f55ebae4d495da061,786cb52fc66f6b88aad5190cee8641e8154e81b6acc9c0a19bcd23d4468610e2,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L1_C3,synthetic,train,F1,L1,C3,,datos/sinteticos/imagenes/sheet_F1_L1_C3_rgb.png,datos/sinteticos/mascaras/sheet_F1_L1_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L1_C3_meta.json,2100,2970,e49960e52e91c3fdb915788ccc80295062b58f976eeca970c9c6acc3cb01b6ff,786cb52fc66f6b88aad5190cee8641e8154e81b6acc9c0a19bcd23d4468610e2,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L1_C4,synthetic,train,F1,L1,C4,,datos/sinteticos/imagenes/sheet_F1_L1_C4_rgb.png,datos/sinteticos/mascaras/sheet_F1_L1_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L1_C4_meta.json,2100,2970,c8969c4549f1662aac97f27958c3b0ba81edcae93a2f480dcf060c9de4b03d32,786cb52fc66f6b88aad5190cee8641e8154e81b6acc9c0a19bcd23d4468610e2,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L1_C5,synthetic,val,F1,L1,C5,,datos/sinteticos/imagenes/sheet_F1_L1_C5_rgb.png,datos/sinteticos/mascaras/sheet_F1_L1_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L1_C5_meta.json,2100,2970,fe04a183ae58a38c3f71bc38c2a141684192acbe9cd21d2e4ec39a50745ada82,786cb52fc66f6b88aad5190cee8641e8154e81b6acc9c0a19bcd23d4468610e2,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L1_C6,synthetic,train,F1,L1,C6,,datos/sinteticos/imagenes/sheet_F1_L1_C6_rgb.png,datos/sinteticos/mascaras/sheet_F1_L1_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L1_C6_meta.json,2100,2970,7611699e7837977fbbd10ae5db3ddb91e1b641ae736e85717fa12f65eae75ac5,3ab4af2b8470e4d99a10c00fcc5ef806dfd03335da1f536bd616b1b2b845c53e,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L2_C1,synthetic,train,F1,L2,C1,,datos/sinteticos/imagenes/sheet_F1_L2_C1_rgb.png,datos/sinteticos/mascaras/sheet_F1_L2_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L2_C1_meta.json,2100,2970,6bd0de3fe42dc00fca8acb514360c9d5c2adfda5d252d555313e7f0abf18794a,03ba4ca3cb7ea43e349ae861930c0ff95a071186e5521e37017e0c97c9318edd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L2_C2,synthetic,train,F1,L2,C2,,datos/sinteticos/imagenes/sheet_F1_L2_C2_rgb.png,datos/sinteticos/mascaras/sheet_F1_L2_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L2_C2_meta.json,2100,2970,a008ac116617e5ad4c88a5e82b2c4e044a05d45859e0873bdb4be1dce0cbdfe2,03ba4ca3cb7ea43e349ae861930c0ff95a071186e5521e37017e0c97c9318edd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L2_C3,synthetic,val,F1,L2,C3,,datos/sinteticos/imagenes/sheet_F1_L2_C3_rgb.png,datos/sinteticos/mascaras/sheet_F1_L2_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L2_C3_meta.json,2100,2970,e92067777b672f774c467840e7ebbd8e135946f26fd7ca7689e26d35006e0965,03ba4ca3cb7ea43e349ae861930c0ff95a071186e5521e37017e0c97c9318edd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L2_C4,synthetic,train,F1,L2,C4,,datos/sinteticos/imagenes/sheet_F1_L2_C4_rgb.png,datos/sinteticos/mascaras/sheet_F1_L2_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L2_C4_meta.json,2100,2970,cfa8bc2268ea0487e75ce8c73c789cdb9b32b38785e7234803661e0e62b6311c,03ba4ca3cb7ea43e349ae861930c0ff95a071186e5521e37017e0c97c9318edd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L2_C5,synthetic,train,F1,L2,C5,,datos/sinteticos/imagenes/sheet_F1_L2_C5_rgb.png,datos/sinteticos/mascaras/sheet_F1_L2_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L2_C5_meta.json,2100,2970,6e02a10fb464a530142301a25879a8754dcbb0c4f8e72368d35ddfcb4a9b40b0,03ba4ca3cb7ea43e349ae861930c0ff95a071186e5521e37017e0c97c9318edd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F1_L2_C6,synthetic,test,F1,L2,C6,,datos/sinteticos/imagenes/sheet_F1_L2_C6_rgb.png,datos/sinteticos/mascaras/sheet_F1_L2_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F1_L2_C6_meta.json,2100,2970,bb778aa2bbbfed51e10ed19448a9ba1054bde121ce42d40ac70d9976eaf83db5,3e395cf902f75e276ab2adaf94566007c85c144a143c81c0b5539071656400bb,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L1_C1,synthetic,train,F2,L1,C1,,datos/sinteticos/imagenes/sheet_F2_L1_C1_rgb.png,datos/sinteticos/mascaras/sheet_F2_L1_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L1_C1_meta.json,2100,2970,b256196a51675ce24d5e712110ef1a9f2481100a46348288551c2871772a75ed,47d5b60bad5a0df4c3491c741e42349c3b482c3d82f5ee1cb0143cb693f5d1e4,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L1_C2,synthetic,train,F2,L1,C2,,datos/sinteticos/imagenes/sheet_F2_L1_C2_rgb.png,datos/sinteticos/mascaras/sheet_F2_L1_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L1_C2_meta.json,2100,2970,bfcc6a5c18d0f3e5a4a9ed27b784d67d1f3e584e64f50dde9ea45af78229e163,47d5b60bad5a0df4c3491c741e42349c3b482c3d82f5ee1cb0143cb693f5d1e4,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L1_C3,synthetic,train,F2,L1,C3,,datos/sinteticos/imagenes/sheet_F2_L1_C3_rgb.png,datos/sinteticos/mascaras/sheet_F2_L1_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L1_C3_meta.json,2100,2970,682cbe38b80b6f16a0b3f2b8538592a2e4bb987e91e69e31fbfa37a27fb9e212,47d5b60bad5a0df4c3491c741e42349c3b482c3d82f5ee1cb0143cb693f5d1e4,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L1_C4,synthetic,train,F2,L1,C4,,datos/sinteticos/imagenes/sheet_F2_L1_C4_rgb.png,datos/sinteticos/mascaras/sheet_F2_L1_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L1_C4_meta.json,2100,2970,11eb575f9788dc45319a092a0057aabd55c2867a2edc0979e93cb5a1177b16b9,47d5b60bad5a0df4c3491c741e42349c3b482c3d82f5ee1cb0143cb693f5d1e4,generator_ground_truth,Máscara producida por el generador sintético.
