sample_id,domain,split,split_protocol,family,cv_group,layout,condition,generator_seed,raw_image,image,ground_truth,instance_mask,legacy_reference,prompt,metadata,width_px,height_px,image_sha256,ground_truth_sha256,asset_ids,asset_sha256s,annotation_status,notes
idv2_train_G1_L1_C1,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G1,L1,C1,42028,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G1_L1_C1_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G1_L1_C1_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G1_L1_C1_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G1_L1_C1_meta.json,2100,2970,3929ba819e4620a97d2a535dc95282a873ee4a0c30f1a2796c50e354225fbb35,6843dfecebe1815d69d1935c3ac55d674bc1167c4e0438b2776eb3927ed4358c,A08;A31;A31;A22;A08;A10;A10;A22,912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G1_L2_C2,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G1,L2,C2,42029,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G1_L2_C2_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G1_L2_C2_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G1_L2_C2_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G1_L2_C2_meta.json,2100,2970,f12734b979b4895233f548a92fe3bc367cc1868a0428b0d48beac5a4111f921d,efa0b87be0f40909e9a3d591920076addd638f0489b5c4d28bb7ef91607164fe,A10;A22;A08;A08;A31;A31;A22;A10,544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G1_L1_C3,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G1,L1,C3,42030,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G1_L1_C3_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G1_L1_C3_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G1_L1_C3_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G1_L1_C3_meta.json,2100,2970,d19e1dada71de5f42f2d35b6265f9a4825169da85637c2132ad641adc77a258d,6ce35bd13f4b5852155cf85ad3993a5dfb6d8a2cb340964466d3bb1c2fa23607,A31;A08;A22;A10;A08;A22;A10;A31,4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G1_L2_C4,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G1,L2,C4,42031,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G1_L2_C4_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G1_L2_C4_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G1_L2_C4_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G1_L2_C4_meta.json,2100,2970,fdf8b96d4276e746841ee7b0314e15adf7ea728f2c6daca0876fda6552e269e7,fdbc7cd66864a41d5462644c890d1f51e221bf5f09091ebb789708afcbb4acb6,A22;A10;A22;A08;A10;A08;A31;A31,ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G1_L1_C5,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G1,L1,C5,42032,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G1_L1_C5_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G1_L1_C5_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G1_L1_C5_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G1_L1_C5_meta.json,2100,2970,223081e6bbdde8e3b94ec2d4181961bc1390dde00060b8ee1f16234acc339e50,e9c4aaa5232abdf98e339b9214169545d4103ff85d74ef9386854c325d633c50,A31;A08;A31;A22;A22;A10;A08;A10,4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G1_L2_C6,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G1,L2,C6,42033,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G1_L2_C6_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G1_L2_C6_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G1_L2_C6_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G1_L2_C6_meta.json,2100,2970,433285886b0dafa62392f4aa571711c29a999b053fb888f7562f6efe58f15c3e,99a17b5655c7a3b35f27b78998f3feb44d030a5dd1cf9120e01107bd07767191,A31;A10;A22;A10;A31;A08;A22;A08,4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;544e6b77fd2b2f7f7acdd805cf37663ccacbc22fbbac1285f7886df11c92328e;4abce1d724d18a506281b218d1667819f115048f7548103731eb0f8713ac2154;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0;ac3a55202821fc35d6485212a936aa8a69ff8604974b3150467568326e26589e;912db94ddb8f6b694566d3e080e311f2cebab5df4f1ed33b4efbd45580835ef0,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G2_L2_C1,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G2,L2,C1,42034,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G2_L2_C1_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G2_L2_C1_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G2_L2_C1_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G2_L2_C1_meta.json,2100,2970,f4663a5fa38c23aac21797311e381bd22892bbeb3c6641d7bced0f1bf41cad32,7240cbbf7b9684215f14e66d97b804776ca3776a56d001a8a7bc11332291f002,A25;A16;A23;A01;A23;A25;A01;A16,9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0;c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721;c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c;9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721;9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G2_L1_C2,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G2,L1,C2,42035,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G2_L1_C2_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G2_L1_C2_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G2_L1_C2_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G2_L1_C2_meta.json,2100,2970,3af904bdc20d0a5db095de7d57f72cf4b1671b7a8a5002070e9eabe45cfe87a7,87e82ebde59d6e5a31a65682b1e4ddd68c2f72ac7950c13cd904cdc6696740a1,A25;A01;A23;A25;A23;A16;A16;A01,9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721;c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c;9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c;9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0;9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G2_L2_C3,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G2,L2,C3,42036,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G2_L2_C3_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G2_L2_C3_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G2_L2_C3_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G2_L2_C3_meta.json,2100,2970,6253e14e6cb5f2d8a6c1b805aed69355c7030b5ec207a03d74294195caf06d8b,bf2c8cd7853b75aaa3d2067ea2d8808c1691109675a8640643159b4e7f48eb92,A16;A23;A01;A01;A25;A16;A25;A23,9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0;c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721;9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0;9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
idv2_train_G2_L1_C4,synthetic,train,asset_identity_disjoint,mixed_F1_F2_F3_F4,G2,L1,C4,42037,,datos/sinteticos_identidad_v2/imagenes/idv2_train_G2_L1_C4_rgb.png,datos/sinteticos_identidad_v2/mascaras/idv2_train_G2_L1_C4_mask.png,datos/sinteticos_identidad_v2/instancias/idv2_train_G2_L1_C4_instances.png,,,datos/sinteticos_identidad_v2/metadatos/idv2_train_G2_L1_C4_meta.json,2100,2970,bb7785aae76981f918e338e13fb7271282eb9913acf2eb2cd6a4c71ba4719382,1c7e685715e2424fd445922a94172077ff2530a4caa99f18459ba68bbde6229d,A23;A01;A25;A25;A16;A23;A01;A16,c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721;9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;9796f388d6531bfe7456864d60fae7e41925788edbe9aa5f3903b4f7c622b30b;9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0;c1237c894c4133fd7684d21bb55621a3e56d88e2196ede2a3d3ea994a5d6eb6c;7c514c0eae1bbcc85db641e40cdceeaf8326c522626d6e7a722ea6c0062c1721;9e977a8f2aff032dd5ba19d88838c6194234bfb2965c0b48888b70ef7f7d8db0,generator_ground_truth_asset_identity_disjoint,"Familias semánticas compartidas; identidades, archivos y hashes de activo disjuntos entre splits."
