domain,sample_id,method,dice,iou,boundary_f1,expected_components,predicted_components,component_error,inference_seconds
real,real_13,vision_clasica,0.9948716232795735,0.9897955786759108,0.9976431391296824,8,8,0,
real,real_15,vision_clasica,0.9951103457917246,0.9902682763469632,0.9973029002667508,8,8,0,
real,real_17,vision_clasica,0.9912116469154661,0.9825764184178731,0.9799797741070798,8,8,0,
real,real_20,vision_clasica,0.9942909936282066,0.9886468027319567,0.9968884456233212,8,8,0,
real,real_22,vision_clasica,0.9937506203100379,0.9875788650088161,0.9922986392793971,8,8,0,
real,real_24,vision_clasica,0.9947149048707947,0.9894853805058633,0.9964931537835876,8,8,0,
real,real_26,vision_clasica,0.9927867237607431,0.9856767649723802,0.9938864305828266,8,8,0,
real,real_28,vision_clasica,0.9939681523570114,0.988008634801929,0.9983928695827028,8,8,0,
real,real_30,vision_clasica,0.9925069066640151,0.9851252710603228,0.9931163814483517,8,8,0,
real,real_32,vision_clasica,0.9876374974351655,0.9755769251952459,0.9156039721904834,8,8,0,
real,real_34,vision_clasica,0.9842617889101793,0.969011284762174,0.834239500496271,8,8,0,
real,real_36,vision_clasica,0.9742563286848168,0.9498048644410835,0.5475381812483763,8,8,0,
real,real_38,vision_clasica,0.9701126219085333,0.9419599099333513,0.5462386977600907,8,8,0,
