dataset_version,split,sample_id,layout,condition,method,iou,dice,boundary_f1,boundary_tolerance_px,expected_components,predicted_components,component_error
asset_identity_v2,test,idv2_test_L1_C1,L1,C1,Visión clásica fija,0.9076902110739681,0.9516117510116779,0.8010553780915858,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C2,L1,C2,Visión clásica fija,0.9077003982632899,0.9516173494429541,0.8011420878120806,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C3,L1,C3,Visión clásica fija,0.9076480094397702,0.9515885582123972,0.8007545921447318,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C4,L1,C4,Visión clásica fija,0.9076742030955901,0.9516029536099023,0.80090747985271,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C5,L1,C5,Visión clásica fija,0.905474697716077,0.9503927801312596,0.7981537368838675,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C6,L1,C6,Visión clásica fija,0.9071814600053515,0.9513320877215385,0.8018741311045119,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C1,L2,C1,Visión clásica fija,0.9117501230929205,0.9538381738067815,0.8084523008583189,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C2,L2,C2,Visión clásica fija,0.9155000485924907,0.9558862180820095,0.8055514133626175,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C3,L2,C3,Visión clásica fija,0.9136016853976098,0.9548504188401996,0.8065569203750399,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C4,L2,C4,Visión clásica fija,0.9168111049262875,0.9566003687792117,0.8160491031980684,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C5,L2,C5,Visión clásica fija,0.9076548112040419,0.9515922963349573,0.8117962671819514,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C6,L2,C6,Visión clásica fija,0.9086832996571,0.9521572277814212,0.7949307529846655,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C1,L1,C1,Random Forest seleccionado,0.9926818008540522,0.9963274622456976,0.9563610050687932,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C2,L1,C2,Random Forest seleccionado,0.9943099851542022,0.9971468754164825,0.9682709229957477,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C3,L1,C3,Random Forest seleccionado,0.9942155494703416,0.9970993855046438,0.9674196341482334,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C4,L1,C4,Random Forest seleccionado,0.993945232591888,0.9969634234134699,0.9646638302422188,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C5,L1,C5,Random Forest seleccionado,0.9695207505124008,0.9845245349765066,0.8407023341747354,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C6,L1,C6,Random Forest seleccionado,0.9842235448177428,0.9920490535335794,0.9555501542286196,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C1,L2,C1,Random Forest seleccionado,0.9908134720823543,0.995385540611177,0.9492189587106684,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C2,L2,C2,Random Forest seleccionado,0.9929263675746614,0.9964506303190985,0.9664857833880329,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C3,L2,C3,Random Forest seleccionado,0.9943351337556519,0.997159521412191,0.9682716780573667,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C4,L2,C4,Random Forest seleccionado,0.9926181030377595,0.9962953779497502,0.9586309148739707,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C5,L2,C5,Random Forest seleccionado,0.9718905310537633,0.9857449140793758,0.8433348000119271,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C6,L2,C6,Random Forest seleccionado,0.9836590328751433,0.9917622097073953,0.9558828785550055,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C1,L1,C1,SAM 2 operativo,0.9177867605794178,0.9571311883518566,0.7357247658186508,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C2,L1,C2,SAM 2 operativo,0.9195791638779608,0.9581049650697542,0.7444903357925529,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C3,L1,C3,SAM 2 operativo,0.9291748466611611,0.9632873332028891,0.7477512558271507,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C4,L1,C4,SAM 2 operativo,0.9142818259584726,0.9552217584270234,0.7188881182499253,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C5,L1,C5,SAM 2 operativo,0.9215387563946945,0.9591674935807597,0.730090358015103,3,8,8,0.0
asset_identity_v2,test,idv2_test_L1_C6,L1,C6,SAM 2 operativo,0.9232929321111758,0.9601168045656864,0.7282067877228823,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C1,L2,C1,SAM 2 operativo,0.9340389578577794,0.9658946672846332,0.7669414665576666,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C2,L2,C2,SAM 2 operativo,0.9272068277114116,0.9622286662532057,0.7370664055522717,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C3,L2,C3,SAM 2 operativo,0.9272028952224078,0.962226548663839,0.7506600495731279,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C4,L2,C4,SAM 2 operativo,0.9106167770551743,0.9532176080424711,0.7146685160603085,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C5,L2,C5,SAM 2 operativo,0.9325249901758522,0.9650845343955899,0.7634235930012584,3,8,8,0.0
asset_identity_v2,test,idv2_test_L2_C6,L2,C6,SAM 2 operativo,0.9196946910791216,0.9581676662991987,0.7132267012323661,3,8,8,0.0
