method,sample_a,sample_b,dice,iou,boundary_f1_tolerance_3px,absolute_area_difference_px
Visión clásica,real_20,real_22,0.9951325188489301,0.9903121929162355,0.9957958284678081,2054
Visión clásica,real_20,real_24,0.9956918007570094,0.9914205634361285,0.9986586978607559,5045
Visión clásica,real_20,real_26,0.9896886975597635,0.9795878707575946,0.9946811964492436,4769
Visión clásica,real_20,real_28,0.9902887062252062,0.9807642167921322,0.9919403546195438,4917
Visión clásica,real_20,real_30,0.9911468793802397,0.9824491386529655,0.9937279586685992,5511
Visión clásica,real_20,real_32,0.9846587601192512,0.9697811153961391,0.8528046782351155,2114
Visión clásica,real_20,real_34,0.9838221365454687,0.9681593861934089,0.8302727314438971,8812
Visión clásica,real_20,real_36,0.9723886269999047,0.9462610599190152,0.49114683410828824,28764
Visión clásica,real_20,real_38,0.9692701522885317,0.9403726441420169,0.5366484256386916,34860
Visión clásica,real_22,real_24,0.9948559186200027,0.9897644895387837,0.9947435354209082,2991
Visión clásica,real_22,real_26,0.9885245019763187,0.9773093900028162,0.9787639355616353,2715
Visión clásica,real_22,real_28,0.990680008996959,0.9815321382988182,0.9917836611696166,2863
Visión clásica,real_22,real_30,0.9888674096196348,0.9779799593321835,0.9488827260551762,3457
Visión clásica,real_22,real_32,0.9860114541504839,0.9724088681143895,0.8963390231750558,60
Visión clásica,real_22,real_34,0.9810444643788835,0.9627941849109993,0.7168894091054733,6758
Visión clásica,real_22,real_36,0.9738867234114659,0.9491025461139113,0.5296160895403327,26710
Visión clásica,real_22,real_38,0.9710129464633694,0.9436590510308132,0.5760277933190299,32806
Visión clásica,real_24,real_26,0.9902571126364001,0.9807022411635141,0.9946683713738732,276
Visión clásica,real_24,real_28,0.9921105470262082,0.9843446065428824,0.9961207155735808,128
Visión clásica,real_24,real_30,0.9910326262493513,0.982224650699429,0.9938317768451312,466
Visión clásica,real_24,real_32,0.9881928068790242,0.9766611797163534,0.9545418268845135,2931
Visión clásica,real_24,real_34,0.9820191305968541,0.9646734630412291,0.7548545797228593,3767
Visión clásica,real_24,real_36,0.9730913927701671,0.9475929853145919,0.5009376861524404,23719
Visión clásica,real_24,real_38,0.9699517760237825,0.941656665626344,0.540440293172279,29815
Visión clásica,real_26,real_28,0.9954987949069152,0.9910379299292772,0.9999204152555113,148
Visión clásica,real_26,real_30,0.9942564967358991,0.9885785923638372,0.9958325693794294,742
Visión clásica,real_26,real_32,0.9854124724656481,0.9712444177787155,0.8589350525059848,2655
Visión clásica,real_26,real_34,0.9868807499480454,0.9741012717875378,0.8983674459992275,4043
Visión clásica,real_26,real_36,0.9731075981043819,0.9476237201755988,0.5516417496789141,23995
Visión clásica,real_26,real_38,0.9669747885465609,0.9360611704588052,0.49067689001692344,30091
Visión clásica,real_28,real_30,0.9926099924930444,0.9853284081599258,0.9832658041365747,594
