method,sample_id,foreground_area_px,foreground_fraction,mask_centroid_x_px,mask_centroid_y_px,components_ge_20000_px
Visión clásica,real_20,1790454,0.2870697450697451,1046.5613123822227,1432.342621480362,8
Visión clásica,real_22,1792508,0.28739907006573673,1046.3906900276038,1428.7934977138177,8
Visión clásica,real_24,1795499,0.2878786275452942,1047.1310883492556,1433.0754052216125,8
Visión clásica,real_26,1795223,0.2878343755010422,1049.175543094089,1432.121055155822,8
Visión clásica,real_28,1795371,0.28785810485810487,1048.0907411337266,1429.749648958349,8
Visión clásica,real_30,1795965,0.28795334295334296,1048.7553242964088,1433.8097863822513,8
Visión clásica,real_32,1792568,0.28740869007535674,1048.2842067915974,1430.511437780882,8
Visión clásica,real_34,1799266,0.28848260381593716,1047.3026856507042,1433.7264717946096,8
Visión clásica,real_36,1819218,0.2916815776815777,1046.9551290719419,1431.998215716863,8
Visión clásica,real_38,1825314,0.2926589706589707,1047.4299232899107,1437.8830365624763,8
Random Forest IDV2,real_20,6219606,0.9972111592111592,1049.1682278588064,1485.8140247147487,1
Random Forest IDV2,real_22,6226305,0.9982852332852333,1049.0311597327789,1483.9078368309936,1
Random Forest IDV2,real_24,6217685,0.9969031585698253,1049.104269836764,1487.7354981797887,1
Random Forest IDV2,real_26,6222011,0.9975967612634279,1049.0668280721459,1485.9907325782613,1
Random Forest IDV2,real_28,6226873,0.9983763027096361,1049.173855480913,1484.056734094304,1
Random Forest IDV2,real_30,6222206,0.9976280262946929,1049.1093956066386,1486.9818852027722,1
Random Forest IDV2,real_32,6216733,0.9967505210838544,1049.3266709379348,1486.6693703911685,1
Random Forest IDV2,real_34,6234519,0.9996022126022126,1049.3521429640361,1484.7669987051127,1
Random Forest IDV2,real_36,6236856,0.999976911976912,1049.4833462565114,1484.5266501262815,1
Random Forest IDV2,real_38,5967401,0.9567742504409171,1085.2423495588782,1537.8990031003448,1
SAM 2 operativo,real_20,1786946,0.28650729517396184,1055.1035879092037,1435.8878656657785,8
SAM 2 operativo,real_22,1788717,0.28679124579124576,1055.8120971623796,1430.7194301837574,8
SAM 2 operativo,real_24,1785600,0.2862914862914863,1054.8411032706092,1437.167197580645,8
SAM 2 operativo,real_26,1782597,0.2858100048100048,1056.191994040156,1434.042164886399,8
SAM 2 operativo,real_28,1800433,0.28866971300304634,1057.7163099098939,1429.2437980196985,8
SAM 2 operativo,real_30,1780351,0.2854498957832291,1054.1457712552187,1434.082553384136,8
SAM 2 operativo,real_32,1785721,0.28631088664422,1056.3189283208294,1432.9388101500738,8
SAM 2 operativo,real_34,1800518,0.288683341350008,1057.6373415872542,1433.3920777242993,8
SAM 2 operativo,real_36,1805103,0.2894184704184704,1054.4296635704445,1436.438570541404,8
SAM 2 operativo,real_38,1802276,0.2889652076318743,1050.6560565640334,1433.4707347820201,8
