sheet_id,family,layout,condition,split
sheet_F1_L1_C1,F1,L1,C1,train
sheet_F1_L1_C2,F1,L1,C2,test
sheet_F1_L1_C3,F1,L1,C3,train
sheet_F1_L1_C4,F1,L1,C4,train
sheet_F1_L1_C5,F1,L1,C5,val
sheet_F1_L1_C6,F1,L1,C6,train
sheet_F1_L2_C1,F1,L2,C1,train
sheet_F1_L2_C2,F1,L2,C2,train
sheet_F1_L2_C3,F1,L2,C3,val
sheet_F1_L2_C4,F1,L2,C4,train
sheet_F1_L2_C5,F1,L2,C5,train
sheet_F1_L2_C6,F1,L2,C6,test
sheet_F2_L1_C1,F2,L1,C1,train
sheet_F2_L1_C2,F2,L1,C2,train
sheet_F2_L1_C3,F2,L1,C3,train
sheet_F2_L1_C4,F2,L1,C4,train
sheet_F2_L1_C5,F2,L1,C5,train
sheet_F2_L1_C6,F2,L1,C6,train
sheet_F2_L2_C1,F2,L2,C1,train
sheet_F2_L2_C2,F2,L2,C2,train
sheet_F2_L2_C3,F2,L2,C3,test
sheet_F2_L2_C4,F2,L2,C4,val
sheet_F2_L2_C5,F2,L2,C5,train
sheet_F2_L2_C6,F2,L2,C6,train
sheet_F3_L1_C1,F3,L1,C1,train
sheet_F3_L1_C2,F3,L1,C2,train
sheet_F3_L1_C3,F3,L1,C3,train
sheet_F3_L1_C4,F3,L1,C4,train
sheet_F3_L1_C5,F3,L1,C5,test
sheet_F3_L1_C6,F3,L1,C6,val
sheet_F3_L2_C1,F3,L2,C1,test
sheet_F3_L2_C2,F3,L2,C2,train
sheet_F3_L2_C3,F3,L2,C3,train
sheet_F3_L2_C4,F3,L2,C4,train
sheet_F3_L2_C5,F3,L2,C5,train
sheet_F3_L2_C6,F3,L2,C6,train
sheet_F4_L1_C1,F4,L1,C1,val
sheet_F4_L1_C2,F4,L1,C2,train
sheet_F4_L1_C3,F4,L1,C3,train
sheet_F4_L1_C4,F4,L1,C4,test
sheet_F4_L1_C5,F4,L1,C5,train
sheet_F4_L1_C6,F4,L1,C6,train
sheet_F4_L2_C1,F4,L2,C1,train
sheet_F4_L2_C2,F4,L2,C2,val
sheet_F4_L2_C3,F4,L2,C3,train
sheet_F4_L2_C4,F4,L2,C4,train
sheet_F4_L2_C5,F4,L2,C5,train
sheet_F4_L2_C6,F4,L2,C6,train
