threshold,mean_dice_agreement,mean_iou_agreement,mean_toppers_detected,mean_predicted_area_pixels
0.05,0.44758567772100943,0.2883181168347563,1.0,6236753.0
0.1,0.4475825808982225,0.28831556929115953,1.0,6236096.538461538
0.15,0.44757522896871893,0.28830949922864285,1.0,6235025.692307692
0.2,0.44756417219275524,0.2883003622557518,1.0,6233739.846153846
0.25,0.44754074978757863,0.28828097290786625,1.0,6232443.769230769
0.3,0.4475116162133566,0.28825685431441156,1.0,6230778.153846154
0.35,0.44747123743393835,0.28822343859714705,1.0769230769230769,6228712.384615385
0.4,0.4474095097583064,0.2881723097810246,1.0769230769230769,6226527.076923077
0.45,0.44746198442642626,0.2882168795999853,1.3076923076923077,6222011.692307692
0.5,0.4478678088162958,0.28855963389490213,3.1538461538461537,6210349.076923077
0.55,0.44807527905745215,0.28873802564332274,4.384615384615385,6201188.923076923
