sheet_id,topper_pixels,far_bg_pixels,near_bg_pixels,total_pixels
sheet_F1_L1_C1,5000,2500,2500,10000
sheet_F1_L1_C3,5000,2500,2500,10000
sheet_F1_L1_C4,5000,2500,2500,10000
sheet_F1_L1_C6,5000,2500,2500,10000
sheet_F1_L2_C1,5000,2500,2500,10000
sheet_F1_L2_C2,5000,2500,2500,10000
sheet_F1_L2_C4,5000,2500,2500,10000
sheet_F1_L2_C5,5000,2500,2500,10000
sheet_F2_L1_C1,5000,2500,2500,10000
sheet_F2_L1_C2,5000,2500,2500,10000
sheet_F2_L1_C3,5000,2500,2500,10000
sheet_F2_L1_C4,5000,2500,2500,10000
sheet_F2_L1_C5,5000,2500,2500,10000
sheet_F2_L1_C6,5000,2500,2500,10000
sheet_F2_L2_C1,5000,2500,2500,10000
sheet_F2_L2_C2,5000,2500,2500,10000
sheet_F2_L2_C5,5000,2500,2500,10000
sheet_F2_L2_C6,5000,2500,2500,10000
sheet_F3_L1_C1,5000,2500,2500,10000
sheet_F3_L1_C2,5000,2500,2500,10000
sheet_F3_L1_C3,5000,2500,2500,10000
sheet_F3_L1_C4,5000,2500,2500,10000
sheet_F3_L2_C2,5000,2500,2500,10000
sheet_F3_L2_C3,5000,2500,2500,10000
sheet_F3_L2_C4,5000,2500,2500,10000
sheet_F3_L2_C5,5000,2500,2500,10000
sheet_F3_L2_C6,5000,2500,2500,10000
sheet_F4_L1_C2,5000,2500,2500,10000
sheet_F4_L1_C3,5000,2500,2500,10000
sheet_F4_L1_C5,5000,2500,2500,10000
sheet_F4_L1_C6,5000,2500,2500,10000
sheet_F4_L2_C1,5000,2500,2500,10000
sheet_F4_L2_C3,5000,2500,2500,10000
sheet_F4_L2_C4,5000,2500,2500,10000
sheet_F4_L2_C5,5000,2500,2500,10000
sheet_F4_L2_C6,5000,2500,2500,10000
