rank,mean_cv_jaccard,std_cv_jaccard,mean_train_jaccard,mean_fit_seconds,parameters
1,0.807734016808057,0.047174370984078264,0.945363397408244,108.1288349032402,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}"
2,0.7956726391439786,0.0749801839975743,0.9744836908091213,104.84591609239578,"{""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 200}"
3,0.7956704590377958,0.0443661590611665,0.9476702046430246,168.03997761011124,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 150}"
4,0.7951596615888846,0.07299597947765568,0.9740197847892015,55.74904179573059,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}"
5,0.7868726720135368,0.0796420720964285,0.9854177517129646,103.7529461979866,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 200}"
6,0.7751864159672983,0.048823977610188675,0.970619003588802,128.7044374346733,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 18, ""max_features"": 0.8, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 100}"
7,0.7692799644084208,0.06299552085921435,0.9758422950375685,199.68674981594086,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 300}"
8,0.7506443975061298,0.06684251805203675,0.9875703992770466,208.7515761256218,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 200}"
9,0.7458665690504922,0.06405557363905749,0.9899345013081546,202.9756190776825,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 200}"
10,0.7451509000151654,0.06408381097564367,0.9957108549169109,123.30843377113342,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}"
