feature,importance,rank
saturation,0.4113284202702921,1
hue,0.18803360279408915,2
grad_magnitude,0.11817955941392544,3
blue,0.04355237987887332,4
green,0.04049385741517601,5
gaussian_blur_s2,0.03946816109816197,6
L_lightness,0.03415524786678272,7
local_mean_7,0.030535748594283117,8
b_blueyellow,0.021595526746265678,9
local_std_7,0.019723640917886736,10
gaussian_blur_s5,0.019173036594646278,11
value,0.009933543136932583,12
local_mean_15,0.006206353616565667,13
red,0.00424503278741426,14
local_std_15,0.00414237376420388,15
difference_of_gaussians,0.003511382957685296,16
a_redgreen,0.0019968666902732933,17
sobel_x,0.0019519841623899055,18
sobel_y,0.0017732812941526283,19
