parameter,level,candidate_count,mean_group_cv_jaccard,min_group_cv_jaccard,max_group_cv_jaccard,interpretation
n_estimators,100,3,0.9713721790659674,0.9699047333188465,0.9736559409484133,exploratory_marginal_not_causal
n_estimators,160,4,0.9698957887597627,0.9682243900203232,0.9705313125261448,exploratory_marginal_not_causal
n_estimators,200,1,0.9686408150698678,0.9686408150698678,0.9686408150698678,exploratory_marginal_not_causal
n_estimators,240,2,0.9708238974575164,0.9693077616109974,0.9723400333040354,exploratory_marginal_not_causal
max_depth,12,1,0.9705313125261448,0.9705313125261448,0.9705313125261448,exploratory_marginal_not_causal
max_depth,20,3,0.9706882620824651,0.9693077616109974,0.9723400333040354,exploratory_marginal_not_causal
max_depth,25,1,0.9686408150698678,0.9686408150698678,0.9686408150698678,exploratory_marginal_not_causal
max_depth,30,1,0.9705558629306422,0.9705558629306422,0.9705558629306422,exploratory_marginal_not_causal
max_depth,None,4,0.9705488813619508,0.9682243900203232,0.9736559409484133,exploratory_marginal_not_causal
min_samples_split,10,4,0.9699305066593326,0.9682243900203232,0.9705558629306422,exploratory_marginal_not_causal
min_samples_split,2,3,0.9704659465687552,0.9686408150698678,0.9723400333040354,exploratory_marginal_not_causal
min_samples_split,5,3,0.9709561452927525,0.9693077616109974,0.9736559409484133,exploratory_marginal_not_causal
min_samples_leaf,1,2,0.9720936267372791,0.9705313125261448,0.9736559409484133,exploratory_marginal_not_causal
min_samples_leaf,2,3,0.9704659465687552,0.9686408150698678,0.9723400333040354,exploratory_marginal_not_causal
min_samples_leaf,4,3,0.970290352469903,0.9699047333188465,0.9705558629306422,exploratory_marginal_not_causal
min_samples_leaf,8,2,0.9687660758156603,0.9682243900203232,0.9693077616109974,exploratory_marginal_not_causal
max_features,0.5,4,0.9708027726784362,0.9699047333188465,0.9723400333040354,exploratory_marginal_not_causal
max_features,0.8,4,0.9709780016044796,0.9693077616109974,0.9736559409484133,exploratory_marginal_not_causal
max_features,sqrt,2,0.9684326025450956,0.9682243900203232,0.9686408150698678,exploratory_marginal_not_causal
class_weight,balanced,6,0.969913220682681,0.9682243900203232,0.9723400333040354,exploratory_marginal_not_causal
class_weight,balanced_subsample,4,0.9711272445314418,0.9699047333188465,0.9736559409484133,exploratory_marginal_not_causal
