model,sample_id,evaluation_domain,threshold_locked_on_synthetic_validation,agreement_dice,agreement_iou,agreement_boundary_f1,reference_components,predicted_components,component_count_difference,absolute_component_error,inference_seconds_including_feature_extraction,reference_status,metric_interpretation,prediction_mask
RF_selected_IDV2_locked,real_13,real_external_post_lock,0.55,0.44603901633952747,0.28703360060485483,0.2768866575866452,8,1,-7,7,18.156048099990585,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_13_rf_idv2.png
RF_selected_IDV2_locked,real_15,real_external_post_lock,0.55,0.44545920627024915,0.2865535649286345,0.4347226985722338,8,1,-7,7,17.087569900002563,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_15_rf_idv2.png
RF_selected_IDV2_locked,real_17,real_external_post_lock,0.55,0.4460715779880549,0.28706056963068144,0.23553724975336812,8,1,-7,7,20.339662500002305,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_17_rf_idv2.png
RF_selected_IDV2_locked,real_20,real_external_post_lock,0.55,0.4453795563621426,0.28648764924250025,0.3864390521336181,8,1,-7,7,18.311364900000626,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_20_rf_idv2.png
RF_selected_IDV2_locked,real_22,real_external_post_lock,0.55,0.44562646737266376,0.28669200679158985,0.23808733423790804,8,1,-7,7,19.78681879999931,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_22_rf_idv2.png
RF_selected_IDV2_locked,real_24,real_external_post_lock,0.55,0.4462786440446959,0.2872320975277462,0.2571611962753546,8,1,-7,7,18.088535799994133,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_24_rf_idv2.png
RF_selected_IDV2_locked,real_26,real_external_post_lock,0.55,0.4461904997730283,0.2871590756188911,0.31613068940036343,8,1,-7,7,22.363104500007466,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_26_rf_idv2.png
RF_selected_IDV2_locked,real_28,real_external_post_lock,0.55,0.4465226938191045,0.28743432043873635,0.2004793979025394,8,1,-7,7,22.11690159999125,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_28_rf_idv2.png
RF_selected_IDV2_locked,real_30,real_external_post_lock,0.55,0.4461801453830757,0.2871504982107955,0.23446255901901075,8,1,-7,7,24.003561100005754,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_30_rf_idv2.png
RF_selected_IDV2_locked,real_32,real_external_post_lock,0.55,0.4456284067400636,0.28669361217896466,0.33527319391782334,8,1,-7,7,19.34845450001012,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_32_rf_idv2.png
RF_selected_IDV2_locked,real_34,real_external_post_lock,0.55,0.44658370913074685,0.28748488847175,0.0794456837257764,8,1,-7,7,19.021325399997295,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_34_rf_idv2.png
RF_selected_IDV2_locked,real_36,real_external_post_lock,0.55,0.4468536957569817,0.28770869462601717,0.0062170830081964435,8,1,-7,7,12.660874399996828,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_36_rf_idv2.png
RF_selected_IDV2_locked,real_38,real_external_post_lock,0.55,0.4617601386480909,0.30018734415207843,0.07465276836693638,8,1,-7,7,17.15967069999897,assisted_canonical_not_independent_ground_truth,agreement_not_accuracy,resultados/rf_idv2_real_agreement_masks/real_38_rf_idv2.png
