candidate_id,origin,mean_group_cv_jaccard,std_group_cv_jaccard,mean_train_jaccard,generalization_gap,parameters,screening_rank
C03_search,seeded_parameter_sample,0.9736559409484133,0.017821156006117705,0.9996759804422746,0.026020039493861224,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",1
C07_search,seeded_parameter_sample,0.9723400333040354,0.02256019821531175,0.998436483473158,0.026096450169122654,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 240}",2
C06_search,seeded_parameter_sample,0.9705558629306422,0.024448713981314152,0.9946326281754975,0.024076765244855247,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 100}",3
C09_search,seeded_parameter_sample,0.9705313125261448,0.02373807106171925,0.9955716087343149,0.025040296208170165,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 160}",4
C02_search,seeded_parameter_sample,0.9704169913323625,0.024284306797516652,0.9984920037301017,0.02807501239773924,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""max_depth"": 20, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 160}",5
C04_search,seeded_parameter_sample,0.9704104611602202,0.025076013469374044,0.9946507963669,0.024240335206679786,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 160}",6
C05_search,seeded_parameter_sample,0.9699047333188465,0.02547637034997821,0.9951673098247112,0.02526257650586472,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 100}",7
C01_search,seeded_parameter_sample,0.9693077616109974,0.025077787442935554,0.9917720732291911,0.022464311618193733,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": 20, ""max_features"": 0.8, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 240}",8
C00_control,pre_registered_control,0.9686408150698678,0.030190279425010503,0.9980019688675722,0.02936115379770443,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}",9
C08_search,seeded_parameter_sample,0.9682243900203232,0.03135580252400124,0.9905174491559542,0.022293059135630955,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 160}",10
