sample_id,split,cv_group,foreground,near_background,far_background,total,feature_count
idv2_train_G1_L1_C1,train,G1,1500,750,750,3000,19
idv2_train_G1_L2_C2,train,G1,1500,750,750,3000,19
idv2_train_G1_L1_C3,train,G1,1500,750,750,3000,19
idv2_train_G1_L2_C4,train,G1,1500,750,750,3000,19
idv2_train_G1_L1_C5,train,G1,1500,750,750,3000,19
idv2_train_G1_L2_C6,train,G1,1500,750,750,3000,19
idv2_train_G2_L2_C1,train,G2,1500,750,750,3000,19
idv2_train_G2_L1_C2,train,G2,1500,750,750,3000,19
idv2_train_G2_L2_C3,train,G2,1500,750,750,3000,19
idv2_train_G2_L1_C4,train,G2,1500,750,750,3000,19
idv2_train_G2_L2_C5,train,G2,1500,750,750,3000,19
idv2_train_G2_L1_C6,train,G2,1500,750,750,3000,19
idv2_train_G3_L1_C1,train,G3,1500,750,750,3000,19
idv2_train_G3_L2_C2,train,G3,1500,750,750,3000,19
idv2_train_G3_L1_C3,train,G3,1500,750,750,3000,19
idv2_train_G3_L2_C4,train,G3,1500,750,750,3000,19
idv2_train_G3_L1_C5,train,G3,1500,750,750,3000,19
idv2_train_G3_L2_C6,train,G3,1500,750,750,3000,19
idv2_train_G4_L2_C1,train,G4,1500,750,750,3000,19
idv2_train_G4_L1_C2,train,G4,1500,750,750,3000,19
idv2_train_G4_L2_C3,train,G4,1500,750,750,3000,19
idv2_train_G4_L1_C4,train,G4,1500,750,750,3000,19
idv2_train_G4_L2_C5,train,G4,1500,750,750,3000,19
idv2_train_G4_L1_C6,train,G4,1500,750,750,3000,19
