domain,sample_id,method,threshold,dice,iou,boundary_f1,expected_components,predicted_components,component_error,inference_seconds
real,real_13,Random Forest v1 seleccionado,0.7,0.44535584192617955,0.28646802524763504,0.39734510319607397,8,1,7,7.201418399999966
real,real_15,Random Forest v1 seleccionado,0.7,0.4446204384966138,0.2858597666455487,0.4837466762601919,8,1,7,6.888311800008523
real,real_17,Random Forest v1 seleccionado,0.7,0.4452242236490369,0.2863591203446531,0.3048554514543782,8,1,7,7.1910616000095615
real,real_20,Random Forest v1 seleccionado,0.7,0.44432235119103425,0.2856133798227477,0.4850890751981212,8,1,7,6.876511999987997
real,real_22,Random Forest v1 seleccionado,0.7,0.44450896483182584,0.2857676160015716,0.30349486687777616,8,1,7,7.373801199995796
real,real_24,Random Forest v1 seleccionado,0.7,0.4454463070458116,0.28654288948959356,0.32286546381443054,8,1,7,6.934686199994758
real,real_26,Random Forest v1 seleccionado,0.7,0.4455434608496126,0.2866232986437378,0.40669887460812776,8,1,7,6.8176647999935085
real,real_28,Random Forest v1 seleccionado,0.7,0.44579822534485547,0.28683420171989693,0.2675590075718331,8,1,7,11.98522960000264
real,real_30,Random Forest v1 seleccionado,0.7,0.4454669601015767,0.2865599821092799,0.3027501242356314,8,1,7,10.169626500006416
real,real_32,Random Forest v1 seleccionado,0.7,0.44489813575631,0.2860893848729853,0.4096466515864035,8,1,7,8.45830549999664
real,real_34,Random Forest v1 seleccionado,0.7,0.44634663512851125,0.28728842946600963,0.11534497154940372,8,1,7,7.319257299997844
real,real_36,Random Forest v1 seleccionado,0.7,0.44688110011371524,0.28773141589252094,0.021964823139722336,8,1,7,6.868990299990401
real,real_38,Random Forest v1 seleccionado,0.7,0.4640569655403783,0.3021316254112534,0.11762932314241763,8,1,7,11.85941439999442
